
Schönauer Triad Performance (MFlop/s):
N, MFlop/s
12, 4016.25
13, 3716.45
15, 3512.30
16, 4337.37
18, 3929.83
19, 3905.12
21, 3792.44
22, 4526.74
24, 4042.70
25, 5067.45
27, 4651.27
28, 4519.03
30, 5440.88
31, 4955.92
33, 4807.14
34, 6533.56
36, 4939.44
37, 5756.22
39, 5858.81
40, 5770.92
42, 6543.44
43, 6272.07
45, 5951.01
46, 6937.28
48, 6218.34
49, 6614.34
51, 7197.61
52, 6294.53
54, 7572.21
55, 7061.01
57, 6210.35
58, 7691.29
60, 6730.90
61, 6991.08
63, 7411.31
64, 6895.07
66, 8881.75

DAXPY Performance (MFlop/s):
N, MFlop/s
12, 4374.64
13, 4329.30
15, 3055.16
16, 4990.16
18, 4104.91
19, 3890.84
21, 5383.93
22, 4546.61
24, 5229.98
25, 5206.92
27, 4276.71
28, 4907.10
30, 5050.54
31, 4771.37
33, 6024.46
34, 5242.35
36, 6308.74
37, 6235.04
39, 5064.21
40, 6488.52
42, 5738.84
43, 5288.31
45, 6572.48
46, 5926.80
48, 6784.50
49, 6701.75
51, 5586.64
52, 6904.53
54, 6226.42
55, 5737.65
57, 6935.60
58, 5082.49
60, 6238.24
61, 6684.80
63, 6576.88
64, 6918.89
66, 6738.70
